fan_id,name,age,city,st_holder,email
1,Fan 1,56,Boston,No,fan1@example.com
2,Fan 2,69,Cambridge,Yes,fan2@example.com
3,Fan 3,46,Cambridge,No,fan3@example.com
4,Fan 4,32,Brookline,No,fan4@example.com
5,Fan 5,60,Quincy,No,fan5@example.com
6,Fan 6,25,Somerville,No,fan6@example.com
7,Fan 7,38,Boston,No,fan7@example.com
8,Fan 8,56,Brookline,No,fan8@example.com
9,Fan 9,36,Quincy,Yes,fan9@example.com
10,Fan 10,40,Brookline,No,fan10@example.com
11,Fan 11,28,Medford,No,fan11@example.com
12,Fan 12,28,Quincy,Yes,fan12@example.com
13,Fan 13,41,Quincy,Yes,fan13@example.com
14,Fan 14,53,Somerville,No,fan14@example.com
15,Fan 15,57,Quincy,Yes,fan15@example.com
16,Fan 16,41,Brookline,No,fan16@example.com
17,Fan 17,20,Quincy,Yes,fan17@example.com
18,Fan 18,39,Somerville,Yes,fan18@example.com
19,Fan 19,19,Somerville,No,fan19@example.com
20,Fan 20,41,Medford,Yes,fan20@example.com
21,Fan 21,61,Brookline,Yes,fan21@example.com
22,Fan 22,47,Cambridge,No,fan22@example.com
23,Fan 23,55,Cambridge,No,fan23@example.com
24,Fan 24,19,Quincy,Yes,fan24@example.com
25,Fan 25,38,Medford,No,fan25@example.com
26,Fan 26,50,Boston,No,fan26@example.com
27,Fan 27,29,Quincy,No,fan27@example.com
28,Fan 28,39,Medford,Yes,fan28@example.com
29,Fan 29,61,Brookline,No,fan29@example.com
30,Fan 30,42,Brookline,No,fan30@example.com
31,Fan 31,66,Brookline,No,fan31@example.com
32,Fan 32,44,Brookline,No,fan32@example.com
33,Fan 33,59,Brookline,Yes,fan33@example.com
34,Fan 34,45,Medford,Yes,fan34@example.com
35,Fan 35,33,Medford,No,fan35@example.com
36,Fan 36,32,Somerville,No,fan36@example.com
37,Fan 37,64,Cambridge,No,fan37@example.com
38,Fan 38,68,Brookline,Yes,fan38@example.com
39,Fan 39,61,Boston,No,fan39@example.com
40,Fan 40,69,Medford,No,fan40@example.com
41,Fan 41,20,Boston,No,fan41@example.com
42,Fan 42,54,Boston,Yes,fan42@example.com
43,Fan 43,68,Boston,No,fan43@example.com
44,Fan 44,24,Somerville,No,fan44@example.com
45,Fan 45,38,Medford,Yes,fan45@example.com
46,Fan 46,26,Boston,No,fan46@example.com
47,Fan 47,56,Brookline,No,fan47@example.com
48,Fan 48,35,Quincy,No,fan48@example.com
49,Fan 49,21,Boston,Yes,fan49@example.com
50,Fan 50,42,Somerville,No,fan50@example.com
51,Fan 51,31,Medford,No,fan51@example.com
52,Fan 52,67,Somerville,No,fan52@example.com
53,Fan 53,26,Boston,Yes,fan53@example.com
54,Fan 54,43,Medford,Yes,fan54@example.com
55,Fan 55,19,Quincy,Yes,fan55@example.com
56,Fan 56,37,Boston,Yes,fan56@example.com
57,Fan 57,45,Somerville,No,fan57@example.com
58,Fan 58,64,Cambridge,Yes,fan58@example.com
59,Fan 59,24,Brookline,Yes,fan59@example.com
60,Fan 60,61,Somerville,No,fan60@example.com
61,Fan 61,25,Medford,No,fan61@example.com
62,Fan 62,64,Boston,Yes,fan62@example.com
63,Fan 63,52,Brookline,Yes,fan63@example.com
64,Fan 64,31,Boston,No,fan64@example.com
65,Fan 65,34,Medford,Yes,fan65@example.com
66,Fan 66,53,Boston,Yes,fan66@example.com
67,Fan 67,67,Cambridge,Yes,fan67@example.com
68,Fan 68,57,Brookline,Yes,fan68@example.com
69,Fan 69,21,Brookline,No,fan69@example.com
70,Fan 70,19,Medford,Yes,fan70@example.com
71,Fan 71,23,Cambridge,No,fan71@example.com
72,Fan 72,59,Somerville,No,fan72@example.com
73,Fan 73,21,Boston,Yes,fan73@example.com
74,Fan 74,46,Quincy,Yes,fan74@example.com
75,Fan 75,35,Boston,Yes,fan75@example.com
76,Fan 76,43,Boston,No,fan76@example.com
77,Fan 77,61,Somerville,Yes,fan77@example.com
78,Fan 78,51,Boston,Yes,fan78@example.com
79,Fan 79,27,Cambridge,No,fan79@example.com
80,Fan 80,53,Cambridge,Yes,fan80@example.com
81,Fan 81,31,Brookline,Yes,fan81@example.com
82,Fan 82,48,Medford,Yes,fan82@example.com
83,Fan 83,65,Quincy,Yes,fan83@example.com
84,Fan 84,32,Boston,No,fan84@example.com
85,Fan 85,25,Boston,Yes,fan85@example.com
86,Fan 86,31,Somerville,No,fan86@example.com
87,Fan 87,40,Medford,Yes,fan87@example.com
88,Fan 88,57,Cambridge,No,fan88@example.com
89,Fan 89,38,Quincy,Yes,fan89@example.com
90,Fan 90,33,Brookline,Yes,fan90@example.com
91,Fan 91,62,Cambridge,No,fan91@example.com
92,Fan 92,35,Medford,No,fan92@example.com
93,Fan 93,64,Brookline,No,fan93@example.com
94,Fan 94,41,Somerville,Yes,fan94@example.com
95,Fan 95,43,Somerville,Yes,fan95@example.com
96,Fan 96,42,Boston,Yes,fan96@example.com
97,Fan 97,62,Medford,No,fan97@example.com
98,Fan 98,58,Quincy,Yes,fan98@example.com
99,Fan 99,46,Brookline,No,fan99@example.com
100,Fan 100,32,Cambridge,Yes,fan100@example.com
101,Fan 101,62,Medford,No,fan101@example.com
102,Fan 102,18,Medford,No,fan102@example.com
103,Fan 103,42,Somerville,No,fan103@example.com
104,Fan 104,24,Boston,Yes,fan104@example.com
105,Fan 105,26,Boston,Yes,fan105@example.com
106,Fan 106,41,Brookline,No,fan106@example.com
107,Fan 107,18,Somerville,Yes,fan107@example.com
108,Fan 108,61,Medford,Yes,fan108@example.com
109,Fan 109,25,Quincy,No,fan109@example.com
110,Fan 110,41,Somerville,No,fan110@example.com
111,Fan 111,28,Brookline,Yes,fan111@example.com
112,Fan 112,68,Brookline,Yes,fan112@example.com
113,Fan 113,34,Somerville,Yes,fan113@example.com
114,Fan 114,25,Brookline,No,fan114@example.com
115,Fan 115,52,Somerville,Yes,fan115@example.com
116,Fan 116,52,Cambridge,Yes,fan116@example.com
117,Fan 117,50,Somerville,Yes,fan117@example.com
118,Fan 118,22,Somerville,Yes,fan118@example.com
119,Fan 119,59,Brookline,No,fan119@example.com
120,Fan 120,56,Brookline,Yes,fan120@example.com
121,Fan 121,58,Boston,No,fan121@example.com
122,Fan 122,45,Boston,Yes,fan122@example.com
123,Fan 123,24,Cambridge,Yes,fan123@example.com
124,Fan 124,26,Boston,Yes,fan124@example.com
125,Fan 125,25,Somerville,Yes,fan125@example.com
126,Fan 126,29,Brookline,No,fan126@example.com
127,Fan 127,51,Boston,No,fan127@example.com
128,Fan 128,50,Boston,No,fan128@example.com
129,Fan 129,65,Cambridge,No,fan129@example.com
130,Fan 130,40,Medford,Yes,fan130@example.com
131,Fan 131,41,Cambridge,No,fan131@example.com
132,Fan 132,54,Somerville,Yes,fan132@example.com
133,Fan 133,52,Brookline,No,fan133@example.com
134,Fan 134,61,Cambridge,Yes,fan134@example.com
135,Fan 135,57,Boston,Yes,fan135@example.com
136,Fan 136,39,Brookline,Yes,fan136@example.com
137,Fan 137,44,Brookline,Yes,fan137@example.com
138,Fan 138,52,Boston,Yes,fan138@example.com
139,Fan 139,18,Cambridge,Yes,fan139@example.com
140,Fan 140,52,Boston,No,fan140@example.com
141,Fan 141,54,Medford,Yes,fan141@example.com
142,Fan 142,64,Brookline,Yes,fan142@example.com
143,Fan 143,31,Quincy,No,fan143@example.com
144,Fan 144,20,Quincy,No,fan144@example.com
145,Fan 145,18,Somerville,Yes,fan145@example.com
146,Fan 146,22,Boston,No,fan146@example.com
147,Fan 147,43,Boston,No,fan147@example.com
148,Fan 148,31,Somerville,Yes,fan148@example.com
149,Fan 149,56,Somerville,No,fan149@example.com
150,Fan 150,44,Somerville,No,fan150@example.com
